VaccinationDate,age_group,first_dose,second_dose,,
12/02/2021,50-59,3550,6138,,
12/02/2021,60-69,1510,2185,,
13/02/2021,80-89,170,286,,
13/02/2021,70-79,396,638,,
13/02/2021,90+,29,73,,
13/02/2021,30-39,7473,4477,,
13/02/2021,40-49,4345,11459,,
13/02/2021,20-29,8961,2351,,
13/02/2021,0-19,2232,3952,,
13/02/2021,50-59,2697,5654,,
13/02/2021,60-69,1050,1370,,
14/02/2021,90+,156,224,,
14/02/2021,30-39,20144,11014,,
14/02/2021,40-49,11814,21717,,
14/02/2021,70-79,1705,2075,,
14/02/2021,60-69,3640,3783,,
14/02/2021,20-29,22861,10476,,
14/02/2021,0-19,6006,8996,,
14/02/2021,80-89,727,960,,
14/02/2021,50-59,7070,9401,,
15/02/2021,40-49,13108,20310,,
15/02/2021,70-79,1802,2189,,
15/02/2021,30-39,21817,12224,,
15/02/2021,90+,210,294,,
15/02/2021,60-69,3966,4135,,
15/02/2021,50-59,8029,9775,,
15/02/2021,0-19,6683,11170,,
15/02/2021,80-89,834,1050,,
15/02/2021,20-29,24884,13809,,
16/02/2021,50-59,7760,8672,,
16/02/2021,40-49,12908,18830,,
16/02/2021,70-79,1871,1977,,
16/02/2021,60-69,3927,3608,,
16/02/2021,30-39,21698,13371,,
16/02/2021,90+,177,243,,
16/02/2021,80-89,781,968,,
16/02/2021,20-29,26430,16622,,
16/02/2021,0-19,7543,12655,,
17/02/2021,40-49,9927,18057,,
17/02/2021,60-69,2446,3098,,
17/02/2021,70-79,1005,1636,,
17/02/2021,30-39,16043,12519,,
17/02/2021,50-59,5513,8041,,
17/02/2021,20-29,20542,16621,,
17/02/2021,0-19,5575,13202,,
17/02/2021,80-89,376,722,,
17/02/2021,90+,90,166,,
18/02/2021,60-69,2963,3144,,
18/02/2021,50-59,6474,8180,,
18/02/2021,30-39,18102,18260,,
18/02/2021,70-79,1066,1544,,
18/02/2021,90+,69,148,,
18/02/2021,40-49,11351,18047,,
18/02/2021,20-29,21717,15888,,
18/02/2021,80-89,401,647,,
18/02/2021,0-19,6535,13095,,
19/02/2021,50-59,3634,3837,,
19/02/2021,0-19,3798,5928,,
19/02/2021,20-29,12542,6127,,
19/02/2021,80-89,186,266,,
19/02/2021,40-49,6469,9537,,
19/02/2021,30-39,10738,10055,,
19/02/2021,90+,29,55,,
19/02/2021,70-79,494,598,,
19/02/2021,60-69,1540,1388,,
20/02/2021,0-19,3433,4228,,
20/02/2021,20-29,9958,3895,,
20/02/2021,50-59,2995,3021,,
20/02/2021,40-49,5183,7739,,
20/02/2021,30-39,7522,7685,,
20/02/2021,70-79,441,401,,
20/02/2021,60-69,1170,887,,
20/02/2021,80-89,164,146,,
20/02/2021,90+,29,22,,
